date,review,exact_date,translated_review
3 months ago,"Hare Krishna.!This Place is very peaceful and place is very huge , Kindly wear comfortable footwear if you want to explore the entire village. You can get free breakfast and lunch in the temple.Free Breakfast Time :- 8 - 10 AM ISTFree Lunch Time :- 12:30 - 2 PM ISTI have attached almost every place videos and photos just have a look into it.Hare Krishna.!",2024-02-18,"Hare Krishna.!This Place is very peaceful and place is very huge , Kindly wear comfortable footwear if you want to explore the entire village. You can get free breakfast and lunch in the temple.Free Breakfast Time :- 8 - 10 AM ISTFree Lunch Time :- 12:30 - 2 PM ISTI have attached almost every place videos and photos just have a look into it.Hare Krishna.!"
3 months ago,"I recently visited Govardhan Eco Village and was captivated by its beautiful ambience, exuding peaceful vibes that instantly calmed my senses. The serene environment, coupled with the cheerful atmosphere, made for a delightful experience. The food, especially the prasadam, was absolutely fantastic, adding to the overall positive impression. The temple area has a unique charm, emanating a relaxing aura through its beautiful idols. Despite the inconvenience in traveling, I highly recommend this place for a family visit. I would love to return and bask in the magic that makes this eco village a must-visit destination.",2024-02-18,"I recently visited Govardhan Eco Village and was captivated by its beautiful ambience, exuding peaceful vibes that instantly calmed my senses. The serene environment, coupled with the cheerful atmosphere, made for a delightful experience. The food, especially the prasadam, was absolutely fantastic, adding to the overall positive impression. The temple area has a unique charm, emanating a relaxing aura through its beautiful idols. Despite the inconvenience in traveling, I highly recommend this place for a family visit. I would love to return and bask in the magic that makes this eco village a must-visit destination."
5 months ago,"I recently visited an incredibly peaceful and spiritual place that left a profound impact on my life. The serene atmosphere, coupled with yoga sessions and enlightening monk-led discussions, provided a unique journey of self-discovery. A must-visit for those seeking spiritual understanding and tranquility.",2023-12-20,"I recently visited an incredibly peaceful and spiritual place that left a profound impact on my life. The serene atmosphere, coupled with yoga sessions and enlightening monk-led discussions, provided a unique journey of self-discovery. A must-visit for those seeking spiritual understanding and tranquility."
3 months ago,"Very calm and natural place. In near future will see much developed garden around the  area.  The miniatures created are of small size. They gave a huge area, so bigger sizes would gave been more attractive.Thank you🙏",2024-02-18,"Very calm and natural place. In near future will see much developed garden around the  area.  The miniatures created are of small size. They gave a huge area, so bigger sizes would gave been more attractive.Thank you🙏"
a month ago,"The most magical 29 days of my life at this Ashram 💫✨I fell in love with the cows 😍Practiced yoga at Goshala above 91 cows every day 🐂🐂Greeted by the 2 peacocks every morning 🦚🦚and there is a beautiful dog named Atman that likes to chant and sing Kirtan 🐕Many Aarti times to attend 🔥📿This is a luxury 5 star Ashram!Make sure you visit the Cow Dung shop and the women’s skill center to support the local economy ….and the magical cows 🐄🤍You can donate to the cows, buy them bananas (which is their favorite food), and feed them from 2-2:30pm everyday 🐄🍌Hare Krishna 📿🌚",2024-04-18,"The most magical 29 days of my life at this Ashram 💫✨I fell in love with the cows 😍Practiced yoga at Goshala above 91 cows every day 🐂🐂Greeted by the 2 peacocks every morning 🦚🦚and there is a beautiful dog named Atman that likes to chant and sing Kirtan 🐕Many Aarti times to attend 🔥📿This is a luxury 5 star Ashram!Make sure you visit the Cow Dung shop and the women’s skill center to support the local economy ….and the magical cows 🐄🤍You can donate to the cows, buy them bananas (which is their favorite food), and feed them from 2-2:30pm everyday 🐄🍌Hare Krishna 📿🌚"
a week ago,"It is wonderful day to come here, all stress are gone in one day,Nice to stay,  food also good quality",2024-05-11,"It is wonderful day to come here, all stress are gone in one day,Nice to stay,  food also good quality"
a month ago,"Govardhan Village in Wada is a charming locale with a rustic appeal. The scenic landscapes and friendly locals create a serene atmosphere, offering a break from the hustle and bustle of city life. The village showcases traditional architecture and a rich cultural heritage, making it an ideal destination for those seeking a peaceful getaway. However, limited amenities and infrastructure may pose challenges for some visitors. If you appreciate a tranquil experience steeped in rural authenticity, Govardhan Village in Wada is worth exploring.",2024-04-18,"Govardhan Village in Wada is a charming locale with a rustic appeal. The scenic landscapes and friendly locals create a serene atmosphere, offering a break from the hustle and bustle of city life. The village showcases traditional architecture and a rich cultural heritage, making it an ideal destination for those seeking a peaceful getaway. However, limited amenities and infrastructure may pose challenges for some visitors. If you appreciate a tranquil experience steeped in rural authenticity, Govardhan Village in Wada is worth exploring."
3 months ago,"Its mini vrindavan.Mumbaikar please visit this place for blessings from shree krishna bhagwan. Also u will get a free guide for a mini vrindavan tour he will explain the story of shree krishna with proper knowledge.Please try to visit in the morning so u can spend ur day  with free food and u can enjoy or relax in the peaceful greenery.Free car, bike, bus parking availableFree food available for allToilet availableRequest to all of u to wear proper clothes🙏 radhe radhe",2024-02-18,"Its mini vrindavan.Mumbaikar please visit this place for blessings from shree krishna bhagwan. Also u will get a free guide for a mini vrindavan tour he will explain the story of shree krishna with proper knowledge.Please try to visit in the morning so u can spend ur day  with free food and u can enjoy or relax in the peaceful greenery.Free car, bike, bus parking availableFree food available for allToilet availableRequest to all of u to wear proper clothes🙏 radhe radhe"
3 months ago,To reach here (Palghar west) : u can take auto/bus.Auto take 700 to 800 but if u communicate the amount will be less.For bus the amount will be less.Surrounding nature is very beautiful and peaceful. To take the forest tour take the coupon which will be free near gift shop.Must take the Yamuna jii aarti which starts at 6:20 pm in evening ( Vibe like ganga aarti).If u r going with auto must do bargain they  charge more than we can assume. 38 km from station.If iscon trust starts a bus service from station than it will be very good 😊 .Mandir is open till evening u can visit anytime..  HARE KRISHNA ♥️.,2024-02-18,To reach here (Palghar west) : u can take auto/bus.Auto take 700 to 800 but if u communicate the amount will be less.For bus the amount will be less.Surrounding nature is very beautiful and peaceful. To take the forest tour take the coupon which will be free near gift shop.Must take the Yamuna jii aarti which starts at 6:20 pm in evening ( Vibe like ganga aarti).If u r going with auto must do bargain they  charge more than we can assume. 38 km from station.If iscon trust starts a bus service from station than it will be very good 😊 .Mandir is open till evening u can visit anytime..  HARE KRISHNA ♥️.
5 months ago,This place is also known as Mini Vrindavan... Nice place... A few temples are under renovation... Must do a guided tour with Guruji... & It is free but there is a timetable for tours ... Provide nice information... Food options are available inside the village... Enjoy 😊😊😊,2023-12-20,This place is also known as Mini Vrindavan... Nice place... A few temples are under renovation... Must do a guided tour with Guruji... & It is free but there is a timetable for tours ... Provide nice information... Food options are available inside the village... Enjoy 😊😊😊
4 months ago,"Beautiful and divine place. Its a version of vrindavan - hence also named as mini vrindavan. Those who can't visit vrindavan and those who also wish to do govardhan parikrama , this is equivalent to that. Just dive into the divine occean of …",2024-01-19,"Beautiful and divine place. Its a version of vrindavan - hence also named as mini vrindavan. Those who can't visit vrindavan and those who also wish to do govardhan parikrama , this is equivalent to that. Just dive into the divine occean of …"
3 months ago,"One of my best places. I visited Makhar Sankranti hence I got rushed that day. What I found is that I need 2 days here if we are coming from the Mumbai side.Also I got a chance to have Prasad there at Annakshetra, also you can help them …",2024-02-18,"One of my best places. I visited Makhar Sankranti hence I got rushed that day. What I found is that I need 2 days here if we are coming from the Mumbai side.Also I got a chance to have Prasad there at Annakshetra, also you can help them …"
2 months ago,"Hello my name is hardik. I visited govardhan eco village in June month 2023. Nestled in the bustling heart of the city, govardhan eco village stands as a timeless testament to spirituality, architecture, and cultural richness. This sacred …",2024-03-19,"Hello my name is hardik. I visited govardhan eco village in June month 2023. Nestled in the bustling heart of the city, govardhan eco village stands as a timeless testament to spirituality, architecture, and cultural richness. This sacred …"
5 months ago,"A calm and peaceful place.Minimalist room with positive vibes.If you want to be at ease and away from city hustle, this is the one of the best …",2023-12-20,"A calm and peaceful place.Minimalist room with positive vibes.If you want to be at ease and away from city hustle, this is the one of the best …"
7 months ago,"Govardhan Eco Village! It's a beautiful place that offers a serene and peaceful environment. The temple architecture is stunning, and the surroundings are filled with lush greenery. It's a great place to connect with nature and find inner peace. Don't forget to try the delicious vegetarian food they serve there! 🌿🙏",2023-10-21,"Govardhan Eco Village! It's a beautiful place that offers a serene and peaceful environment. The temple architecture is stunning, and the surroundings are filled with lush greenery. It's a great place to connect with nature and find inner peace. Don't forget to try the delicious vegetarian food they serve there! 🌿🙏"
2 weeks ago,"Gowardhan Ecovillage is a commendable initiative towards sustainable living and spiritual wellness. It offers a tranquil environment for rejuvenation, learning, and personal growth, making it a unique and enriching experience for those who …",2024-05-04,"Gowardhan Ecovillage is a commendable initiative towards sustainable living and spiritual wellness. It offers a tranquil environment for rejuvenation, learning, and personal growth, making it a unique and enriching experience for those who …"
a month ago,"Visited the place with family on one fine Sunday morning. For better experience and to beat the heat, reach the eco village early in the morning. We wanted to stay overnight but rooms were booked. So try to get it booked early. …",2024-04-18,"Visited the place with family on one fine Sunday morning. For better experience and to beat the heat, reach the eco village early in the morning. We wanted to stay overnight but rooms were booked. So try to get it booked early. …"
3 months ago,Must must visit place for every Hindu. The vibe of this place is very positive. This place has so much cultural values that it helps to teach our morals and values to our future generations.,2024-02-18,Must must visit place for every Hindu. The vibe of this place is very positive. This place has so much cultural values that it helps to teach our morals and values to our future generations.
a month ago,Creating Vrindavan experience near Mumbai. It is an oasis of happiness and relief for Mumbai residents and visitors all over India and world,2024-04-18,Creating Vrindavan experience near Mumbai. It is an oasis of happiness and relief for Mumbai residents and visitors all over India and world
5 months ago,If you are planning for two day it's very good wives and you can plan here to meditate calm. If you will book cottage there two advantage you will get car service to explore with other passengers,2023-12-20,If you are planning for two day it's very good wives and you can plan here to meditate calm. If you will book cottage there two advantage you will get car service to explore with other passengers
6 days ago,It's a beautiful time spent has great place.for krishna bhakta have many types of temples and beauty of nature scenery free prasadan means food with high quality when you enter in vrundawan you see krishna lilas very very beautiful place I loved it you must try it …,2024-05-12,It's a beautiful time spent has great place.for krishna bhakta have many types of temples and beauty of nature scenery free prasadan means food with high quality when you enter in vrundawan you see krishna lilas very very beautiful place I loved it you must try it …
2 months ago,"Govardhan Eco Village is Also known as Mini Vrindavan. As soon as you step into Govardhan EcoVillage, you'll feel like you've entered a mini version of Vrindavan, where you can be close to nature, learn how to take care of the Earth and …",2024-03-19,"Govardhan Eco Village is Also known as Mini Vrindavan. As soon as you step into Govardhan EcoVillage, you'll feel like you've entered a mini version of Vrindavan, where you can be close to nature, learn how to take care of the Earth and …"
a month ago,Radhey radhey ❣️🙏🏻Hare Krishna ❣️🙏🏻🙏🏻🙏🏻 …,2024-04-18,Radhey radhey ❣️🙏🏻Hare Krishna ❣️🙏🏻🙏🏻🙏🏻…
2 months ago,"Perfectly & well maintained,  nobody can visit almost everything here without guidance...the place is like bhul bhulaiya, but worth every time ...u get free food here . perfect place to visit with friends, family, everyone",2024-03-19,"Perfectly & well maintained,  nobody can visit almost everything here without guidance...the place is like bhul bhulaiya, but worth every time ...u get free food here . perfect place to visit with friends, family, everyone"
4 months ago,"It's a wonderful place to visit with friends and family specially for Krishna devotees best season to visit is winter season in Lalita bhavan mahaprasad is free for visitors time is 12.30 to 2.30 PM other than this breakfast, lunch and …",2024-01-19,"It's a wonderful place to visit with friends and family specially for Krishna devotees best season to visit is winter season in Lalita bhavan mahaprasad is free for visitors time is 12.30 to 2.30 PM other than this breakfast, lunch and …"
a month ago,"I recently visited Govardhan Eco Village in Palghar with my family, and it was an incredibly peaceful and spiritual experience. The atmosphere was serene, and the surroundings were beautiful. We were warmly greeted by the community, and the …",2024-04-18,"I recently visited Govardhan Eco Village in Palghar with my family, and it was an incredibly peaceful and spiritual experience. The atmosphere was serene, and the surroundings were beautiful. We were warmly greeted by the community, and the …"
4 months ago,"Beautiful, serene, spiritual Atmosphere.Best place to go when one needs rest from all the material life , and get a mini vrindavan darshan",2024-01-19,"Beautiful, serene, spiritual Atmosphere.Best place to go when one needs rest from all the material life , and get a mini vrindavan darshan"
5 months ago,"Place of religious and cultural tourism. You can do a day tour and see a replica of Vrindavan, they have taken a lot of effort and developed it. You have an option of staying there as well and enjoy Aarti/Satsang at the temple, Yagna at …",2023-12-20,"Place of religious and cultural tourism. You can do a day tour and see a replica of Vrindavan, they have taken a lot of effort and developed it. You have an option of staying there as well and enjoy Aarti/Satsang at the temple, Yagna at …"
5 months ago,"A must see, must visit place. Not as a tourist attraction but a place of Krishna and know the history of all his kriyas, leela and such stories! …",2023-12-20,"A must see, must visit place. Not as a tourist attraction but a place of Krishna and know the history of all his kriyas, leela and such stories! …"
8 months ago,Beautiful place to visit. The environment is so peaceful and divine. The vibes and chanting are just mesmerizing …,2023-09-21,Beautiful place to visit. The environment is so peaceful and divine. The vibes and chanting are just mesmerizing …
6 months ago,"If you want to experience Vrindavan then please visit here..You will get every experience of Being spiritual here..Goshala Yamuna Ghat, Vrindavan Temple..Very spiritual experience..Just come here and devote yourself in ShriKrishna's …",2023-11-20,"If you want to experience Vrindavan then please visit here..You will get every experience of Being spiritual here..Goshala Yamuna Ghat, Vrindavan Temple..Very spiritual experience..Just come here and devote yourself in ShriKrishna's …"
5 months ago,"One of Best Place to Experience the Peace and lot's of Positivity ,Very Peaceful Place to visit, …",2023-12-20,"One of Best Place to Experience the Peace and lot's of Positivity ,Very Peaceful Place to visit, …"
3 weeks ago,"Must Visit, Yamuna Aarti is bliss, would love to visit once in a month at least. …",2024-04-27,"Must Visit, Yamuna Aarti is bliss, would love to visit once in a month at least. …"
9 months ago,"It's a beautiful place at the foot hills of the Sahyadari mountains, with clean surrounding and wonderful rooms. The yoga room facing the mountains is the icing on the cake. It was real fun taking my Iyengar Yoga Camp there. Would tell many others to come and experience the serenity of the beautiful place at Wada. …",2023-08-22,"It's a beautiful place at the foot hills of the Sahyadari mountains, with clean surrounding and wonderful rooms. The yoga room facing the mountains is the icing on the cake. It was real fun taking my Iyengar Yoga Camp there. Would tell many others to come and experience the serenity of the beautiful place at Wada. …"
9 months ago,"Very peaceful place.. Devine touch.. the greenery will take your heart. Rooms are available, the thing is you will need to book it in advance. In the morning at breakfast we got khichadi... Very healthy and tasty, afternoon for lunch pure satvik thali ... everyfood prepared in jain. …",2023-08-22,"Very peaceful place.. Devine touch.. the greenery will take your heart. Rooms are available, the thing is you will need to book it in advance. In the morning at breakfast we got khichadi... Very healthy and tasty, afternoon for lunch pure satvik thali ... everyfood prepared in jain. …"
9 months ago,"Its a very beautiful place . The temples are very pretty and have awesome carvings on it of Shri Krishna leela. The Vrindavan forest is very nice and the diff places depicted in it are just too good. The Giriraj parbat, the Maan mandir, …",2023-08-22,"Its a very beautiful place . The temples are very pretty and have awesome carvings on it of Shri Krishna leela. The Vrindavan forest is very nice and the diff places depicted in it are just too good. The Giriraj parbat, the Maan mandir, …"
10 months ago,"My recent visit to Govardhan Eco Village was an experience that truly immersed me in the beauty of sustainable living and spiritual growth. To make the most of your visit, I highly recommend staying at the village and exploring all the …",2023-07-23,"My recent visit to Govardhan Eco Village was an experience that truly immersed me in the beauty of sustainable living and spiritual growth. To make the most of your visit, I highly recommend staying at the village and exploring all the …"
9 months ago,"It's awesome and nice place. Free entry for full day. For night stay only charged. Well maintain all things (Iscon temple, parking facility, Canteen). It's nice place to visit with family and kid's. Good one. …",2023-08-22,"It's awesome and nice place. Free entry for full day. For night stay only charged. Well maintain all things (Iscon temple, parking facility, Canteen). It's nice place to visit with family and kid's. Good one. …"
4 weeks ago,"Amazing spiritual experience, The temple is still under construction but that doesn't stop the vibe of the place. …",2024-04-20,"Amazing spiritual experience, The temple is still under construction but that doesn't stop the vibe of the place. …"
11 months ago,"It's such a beautiful place, my mind was satisfied, I could not express my happiness, and I got a lot of peace and relaxation.Arthi was so good, full of positive vibes. …",2023-06-23,"It's such a beautiful place, my mind was satisfied, I could not express my happiness, and I got a lot of peace and relaxation.Arthi was so good, full of positive vibes. …"
10 months ago,"I will highly recommend that visit here in Winter or Rainy season, bcos in Summer there's too hot, you will find shade but also hot,I will also recommend that Visit here for 2 Days, because in one day you cannot …",2023-07-23,"I will highly recommend that visit here in Winter or Rainy season, bcos in Summer there's too hot, you will find shade but also hot,I will also recommend that Visit here for 2 Days, because in one day you cannot …"
5 months ago,Serene. Would definitely fall short of words to describe this place. The best place to nurture your soul in a very environmental ambience. I took a stay here for a day. The rooms were clean and tidy and spacious at the same time. If you are …,2023-12-20,Serene. Would definitely fall short of words to describe this place. The best place to nurture your soul in a very environmental ambience. I took a stay here for a day. The rooms were clean and tidy and spacious at the same time. If you are …
3 months ago,Must-visit destination.Very calm and natural place.The Veg food counter inside the village. Parking space available. …,2024-02-18,Must-visit destination.Very calm and natural place.The Veg food counter inside the village. Parking space available. …
11 months ago,"Felt like I was near Krishna. There is lot too explore, be ready to walk a lot. Best time to visit would be after monsoon settles down around August. They also have option to stay in nature's lap for a day and have a tour of place with a dedicated person for a big group. …",2023-06-23,"Felt like I was near Krishna. There is lot too explore, be ready to walk a lot. Best time to visit would be after monsoon settles down around August. They also have option to stay in nature's lap for a day and have a tour of place with a dedicated person for a big group. …"
a year ago,Must visit onceHave fallen in love with the ambience and place. Will recommend everyone to …,2023-05-19,Must visit onceHave fallen in love with the ambience and place. Will recommend everyone to …
a year ago,Serene place for nature lover religious souls.This place is full of calmness and divinity.Enjoyed every bit of my visit.. …,2023-05-19,Serene place for nature lover religious souls.This place is full of calmness and divinity.Enjoyed every bit of my visit.. …
a month ago,Such a wonderful place to visit. Vibe is totally different here. …,2024-04-18,Such a wonderful place to visit. Vibe is totally different here. …
